Pixel at (671, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (672, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (673, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (674, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (675, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (676, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (677, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (678, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (679, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (680, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (681, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (682, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (683, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (684, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (685, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (686, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (687, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (688, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (689, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
Pixel at (690, 88): R=142, G=224, B=133, A=255 (Pre-multiplied)
